Animation -> 13,Thriller -> 5,War -> 0,Horror -> 24,Documentary -> 16,Biography -> 3,Comedy -> 19,Western -> 2,Fantasy -> 21,Romance -> 25,Family -> 1,Drama -> 20,Short -> 15,Sport -> 14,History -> 22,Film-Noir -> 7,Reality-TV -> 4,Music -> 8,Mystery -> 9,Musical -> 23,Sci-Fi -> 11,Game-Show -> 18,Adventure -> 10,Crime -> 17,Action -> 12,News -> 6
aaron hill,9,5,20
cliff robertson,12,19,5,20,25,11
marisa saks,19
ji-hyun jun,20,22
vanessa lengies,1,19,20,25,14,8
ghassan massoud,12,10
jason bateman,16
tamsin egerton,12,19,20,10,25,11
greg collins,19,20
george chakiris,5,20,17,25,23
jack hawkins,0,12,20,3,10,22
indiana evans,20,17
toni braxton,1,21,10,23
jennifer hudson,1,20,3,22,8,23
jada pinkett smith,9,1,17,24,3,10,25,11,12,19,13,5,20,21,14,8
natalya bondarchuk,9,20,11
matt mccoy,9,5,20,17
don johnson,12,9,19,5,2,17,20,25,14
igal naor,0,12,5,20
jim parrack,0,12,20,11
lin shaye,9,1,17,24,10,25,11,12,19,5,20,21,14,8
marsha thomason,9,1,19,24,21,10
liz mullane,5,20,17,3,25
chris elliott,12,1,19,21,10,25,11,8
adhir kalyan,12,19,17,25
tom amandes,9,5,20
frances bavier,1,10,25
daniel stern,19,5,20,17,24,25,14,11
adam alexi-malle,19
t.r. silambarasan,19,25
olivia williams,0,9,1,17,24,10,25,11,12,19,13,5,20,21
josh stamberg,12,10,11
august diehl,12,9,5,17
josh robert thompson,1,19,13,10
sean cook,12,5
parry shen,20,17,25
max minghella,12,5,20,24,10,25,22,11
aryana engineer,9,5,24
sandrine kiberlain,1,19,5,20,17,25
adam ratcliffe,20
joanna kulig,20
fred melamed,19,20
miranda july,19,20
kabir bedi,12,5,20,10,25
roy dupuis,20,3,14
ll cool j,12,9,19,5,20,17,24,10,25,14,11
katrina law,12,5,17
howard keel,1,19,2,20,3,25,23
cynthia myers,19,20,8
elena anaya,0,19,5,20,10,25,22
liya kebede,9,20,17,25
toby huss,0,20,3,10
kyla wise,20,21,25
renée adorée,0,20,25
paul dooley,1,19,20,25,8,23
rekha sharma,12,5,10,11
allen payne,19,24,21,25
michael emerson,12,9,13,5,2,17,24,10,11
jimmy fallon,1,19,13,20,3,21,10,25,14
simon merrells,5,20,17,24,21
tony chiu wai leung,0,12,20,3,10,25,22,11
min-sik choi,0,12,9,5,20,17
dominik castell,20,25
dan fogler,12,1,19,13,20,17,10,25,11
max kerstein,19
roberta valderrama,12,5,24,11
jessica capshaw,12,9,5,24,11
eva larue,21,10
danielle savre,5,20,17
nigel bruce,1,20,21
simón andreu,5
megan franich,24
henry thomas,0,1,19,2,17,20,25,11
michael chapman,5,24,11
juan fernández,0,5,20,22
michael delorenzo,5,20,3,10
sam mcmurray,12,5,20,17,24,11
violante placido,5,20,17
chandler canterbury,12,9,5,20,24,10,25,11
stuart whitman,20,17
james frain,0,12,1,19,5,20,17,3,21,10,25,11
paolo seganti,0,19,20
portia de rossi,19,24
eddie rouse,12,9,5,20,24,11
jude ciccolella,9,20,17
eric elmosnino,19,20,8
remo,20,23
cesar romero,1,19,10,25
thomas bo larsen,20
darren kendrick,12,5
peter gallagher,12,9,19,5,20,17,24,25,8,23
noel fisher,12,1,19,17,10,11
brianna brown,1,5,2,20,24
peter feeney,20
zohra segal,19,20,25
christiana leucas,12,5,17
carter jenkins,1,19,21,10,11
charly bivona,19,20,25,23
royal dano,9,19,20,10,25,11
lynn redgrave,0,9,19,13,5,20,3,25,22
tom conti,19,20,21,25
ye liu,0,20,25,22
giovanna mezzogiorno,20,25
minoru chiaki,12,20,10
estella warren,12,19,5,20,17,21,10,25,14,11
brad garrett,12,1,19,13,5,20,21,10,25,11,8,23
dee bradley baker,12,1,19,13,20,21,10,11
len cariou,19,20
louis herthum,19,20,17,3,25
emily ratajkowski,9,5,20,17,25,8
natalie zea,9,5,20,17
jess weixler,19,5,24,21
sedona legge,5,20,24
peter youngblood hills,5,20,10
wei tang,20
brandy norwood,12,1,19,13,17,21,10,25
taron egerton,19,20,3,14
geneviève lemon,20,25,8
ian gomez,12
li jun li,20,8
robert mitchum,19,5,20,17,21
mike doyle,19,25
john michael higgins,0,12,19,5,20,17,24,21,10,25,11
art malik,12,5,20,24,21,10,22
erin daniels,24
chris 'wonder' schoeck,16
neil flynn,1,19,20,10
lois maxwell,12,5,20,17,10,25,11
oliver stark,1,21,10
dato bakhtadze,12,5,24,10,11
anna-louise plowman,12,19,10
fergie,20,25,23
cécile de france,12,19,20,24,21,10
jenny agutter,12,19,24,21,10,11
adriana barraza,5,20
tiffany helm,9,5,24
dinesh d'souza,16
sullivan stapleton,0,12,9,5,20,24,21
jessica collins,0,12,20,3,22
theresa merritt,1,21,10,8,23
jorge luis moreno,0,20,22
madison lintz,9,5,24,21
ken foree,17,24
rekha,12,20,17,10,25,22,11
cj adams,1,10
jill clayburgh,19,20
glenn howerton,19
kiersey clemons,19,20,17
tamara tunie,9,5,20,17,8
shane dawson,19
penny balfour,1,13,21,10
chrystee pharris,19,8
amy stewart,1,19,20,14
james read,19,20,25
alice playten,1,19,13
michael dorman,9,5,21
d.b. sweeney,12,1,13,5,20,17,10,14
diego ramos,1,13,10,14
frankie valli,19,20,25
beau knapp,5,11
macha méril,20
stephen henderson,9,20,10
tony corvillo,5,20,24
alex borstein,12,1,19,5,20,17,3,21,10,25,22,8
a.j. buckley,9,1,19,13,5,20,17,21,10
don wallace,20,14
lemmy,19,8
marg helgenberger,12,5,20,24,3,11
diana ross,1,21,10,8,23
finola hughes,20,25
taylor blackwell,1,20
mike dopud,12,9,5,20,17,24,21,10
daniel von bargen,12,9,1,19,5,20,17,21,10,25,11,8
roshan seth,19,20,25
martin lucey,0,20
lucille la verne,1,13,21,23
timothée chalamet,19
valerie cruz,12,5,17
connie nielsen,12,9,1,19,5,20,17,10,25,11
jared gilman,19,20,25
heike makatsch,0,20,3,25
luisa d'oliveira,12,5,24
brad james,9,5,20,24
kirk baltz,19,20,25
kimberly elise,19,20,17,24,25,22
joyce randolph,1,19
jimmy shubert,12,5,17
taran killam,19,20,3,25,22
aksel hennie,5,20,17
bob peck,5,10,11
ricky jay,16
mikal vega,12,24
bruce dern,9,2,17,24,3,10,25,11,19,5,20,21,14,8
joseph gilgun,12,9,5,20,17,3,21,10,11
jeri ryan,12,5,24,21
goya toledo,5,20
paulo costanzo,19,25,8
spela colja,19
tiffany bolling,24,11
lars ulrich,8
huey lewis,9,19,5,20,11,8
eva carrozza,1,16,8
charlotte lewis,12,9,19,21,10
steve gonsalves,16
james buckley,19,25
jeremy owen,19,10,11
nadine labaki,19,20,25
grigoriy dobrygin,5
tammy davis,1,20
shidô nakamura,0,20,22
jarrod phillips,12,19,24
bill martone,19,13,20,21,11
edi gathegi,12,5,20,17,24
sharon small,19,20,25
china chow,9,19,25
john newton,9,20,25,11,8
bruce mcgill,0,1,2,17,3,25,11,12,19,5,20,21,22,14
paterson joseph,12,11
tom mccarthy,0,12,5,20,21,10,22,11
anna vareschi,20
eva marcille,12,14
hanne aagesen,20,21
joan baez,16,22,8
albert maysles,16,3,8
paul mccartney,19,23
robert wahlberg,9,5,20
kathy baker,12,20,17,3
elena lyadova,20,10
michael fassbender,0,12,9,5,2,17,20,24,3,21,10,22,11
seymour cassel,12,19,5,20,17,10,25,14,8
jung-min hwang,9,5,24,21
allegra carpenter,12,5,24
jessica szohr,19,5,24,25
donald watkins,0,12,20,3,22
nicole dionne,12,19,5,20
peter spellos,5,20,17,25
mara wilson,1,19,20,21,10,25
tony jay,1,19,13,17,10,25,11,23
julia roberts,0,9,1,17,24,3,10,25,11,12,19,13,5,20,21
lloyd bridges,19,5,2
david hyde pierce,12,1,19,13,5,20,17,24,21,10,25
summer napoles,5,20
edmund mcmillen,16
maya angelou,20,25
caroline munro,12,5,10,11
molly ephraim,5,24,21
josh segarra,19,25
david julian hirsh,19,5,20,17,3,25
arthur o'connell,20,17
richard t. jones,12,19,5,20,17,25
madhuri dixit,19,20,25,23
jon stewart,1,19,13,5,21,10,25,11
kevin g. schmidt,19,17
mini anden,12,5,17
kristin scott thomas,0,9,1,2,17,3,10,25,12,19,5,20,21,8
kelsey grammer,12,9,1,19,13,5,20,17,21,10,25,11,23
sterling jerins,12,5
caroline rhea,1,19,21
vanessa matsui,1,19,13,21,10
al pacino,12,9,19,5,20,17,3,25,14,8
agata kulesza,20
simon woods,20,25
jeff anderson,19,25
t.j. thyne,9,1,19,20,17,21,25
warren beatty,12,19,5,20,17,3,10,25,22,8
jean harlow,0,20
samaire armstrong,9,19,5,24,21,25
pat healy,24
thierry harcourt,20
karen pittman,20,8
wayne pygram,20,10,25
karl yune,20,25
louise lasser,19,20
sally kirkland,5,20,24,25,22
fann wong,12,19,10
robert john burke,12,9,5,20,17,24,25
marc singer,12,21,10,11
angus macfadyen,12,9,24,21,10
jason stuart,20,3
cullen douglas,20
mari koda,20,25,8,23
regina casé,19,20
saad siddiqui,9,5,20,25
aisha tyler,12,1,19,5,20,17,21
daniel kaluuya,12,9,19,5,20,17,10
jesse garcia,12,20,24
rene auberjonois,12,1,19,21,10,11
karl johnson,20,3,22
amy hargreaves,5,20,17
dania ramirez,12,1,19,5,17,24,21,25,11
andy on,0,12,20,22
alicia ziegler,19
paulette goddard,1,19,20
jim backus,20,17,7
luke newberry,12,19,20,21,10,25
james ransone,9,16,5,2,17,20,24,10
william sanderson,12,5,2,17,20
markéta irglová,20,25,8
emmanuelle bercot,20
mekia cox,16,8
tim rice,16
bobby block,1,19,13,21,10
randall duk kim,12,5,20,21,10,25,22,11
david niven,0,12,20,10,25,22
don francks,13,24,21,10,11
vanessa angel,1,19,11
milan lasica,0,19,20,25
catherine o'hara,9,1,2,17,24,3,10,25,11,12,19,13,5,20,21
matias varela,12,5,20,17
glenn beck,9,10,11
jake ryan,24
tommy pallotta,19,20
joy bryant,9,5,24
aj michalka,9,5,20,21,11
reg e. cathey,12,9,19,5,20,17,21,10,25,11
george sanders,0,9,5,20,7,22,25
edwin hodge,9,5,24
owen teale,0,12,21,10
alexandra rapaport,20
kevin howarth,20
a.j. delucia,12,5,11
erin pitt,1,10
ajay naidu,20,17,25,14
mehcad brooks,19,5,20,17,3,25,14
leslie jordan,5,24,21
gian maria volontè,12,2,20
jonathan frakes,12,9,5,20,10,11
d. david morin,20,21,11
gregory smith,12,9,1,19,5,2,20
carmen maura,9,19,20,17
phil hartman,1,19,13,21,10,23
nolan gerard funk,12,5,20,24,11
mark rylance,12,9,1,5,20,17,21,10,22
bruce altman,5,20,17
jonny weston,5,20,25,11,8
rupert grint,12,9,1,19,20,17,21,10
takashi miike,24
tom goodman-hill,5,20,3,10,22,14
tom selleck,12,1,19,5,2,20,10,25
nikki griffin,12,5,17
riccardo scamarcio,19,20,17,25
mick foley,16,3,14
wanda sykes,12,1,19,13,21,10,25,11,23
lee ving,20,25,8
gerry lopez,16,22,14
tsianina joelson,19,20,25
jenifer lewis,1,19,13,20,21,25,14,23
john hillerman,9,2
burghart klaußner,9,20,25
kate magowan,19,20,3,8
archie panjabi,0,12,9,19,5,20,3,10,25,22,14
patrick muldoon,0,12,24,11
matt malloy,19,5,20
matthias habich,20,3
billy burke,12,9,19,5,20,17,24,3,21,10,14,11
paige turco,12,1,19,5,17,21,10,11
swami krishnanad,16
noureen dewulf,1,19,13,10,25
sheila hancock,0,20
gregory cruz,12,5,24
akima,20
bill paterson,20,3,25
meisa kuroki,12,20,10,11
jason burkey,20
brittany daniel,12,19,5,20,17,24,10,11
kathleen quinlan,9,17,24,3,10,25,11,12,19,5,20,22,8,23
fred ward,12,19,5,20,17,3,10
ariana richards,12,19,5,24,10,11
harold perrineau,12,19,5,20,17,24,21,10,25,22,11
lisa wilcox,5,24,21,25
carlos lasarte,24
mark rendall,20,24
katrina bowden,19,5,24,10,25
celia weston,12,9,19,5,20,17,21,25,11
matt marr,1,23
drea de matteo,12,5,20,17
fred armisen,12,19,13,21,10,25,11
norman reedus,12,9,19,5,20,17,24,10,11
craig t. nelson,1,17,24,3,10,25,11,12,19,13,5,20,21,22,14
asin,12,19
dann florek,0,12,5,20
richard e. grant,12,1,19,5,20,17,24,21,10,25,23
temuera morrison,12,5,2,17,20,24,10,25,11
monica keena,24,21
donny boaz,20,3,14
ken arnold,12,9,5
john fiedler,9,1,19,13,20,17,21,10,23
fred tatasciore,1,19,13,21,25,23
matthew sunderland,20,17
tom bosley,1,19,25
chad lowe,5,20
steven waddington,12,9,13,5,24,21,11
lior ashkenazi,19,20,25
james lance,12,20,17,3
tom sturridge,19,20,8
donald glover,19,5,20,24,10,25,11
leslie hope,12,20,14
johnny amaro,20
jeffrey w. jenkins,20
jason priestley,9,19,5,20
samira wiley,9,5,17,10,11
sean kingston,16,8
ingrid thulin,20
judith hill,16,8
anthony chau-sang wong,12,19,5,17,21
michael spears,2,20,10
heather matarazzo,1,19,20,17,25
seth gilliam,0,12,20,3,25,22,11
martin henderson,19,5,20,3,10,25,22,14,23
akie kotabe,12,5,17
casey siemaszko,5,20,10
kenneth colley,12,5,10
nicholas farrell,0,20,22
andrea vergara,20,17,25
william holden,0,12,2,20,10,25
si won choi,12,20,10,22
rob huebel,19,20,10,25,11
bam margera,12,19,16
patrick bergin,12,9,5,20
kenneth williams,12,19,13,21,10
charles keating,19
tasha smith,1,19,20,3,25,14
alan van sprang,9,5,20,17,3,22
katharine mcphee,19,5,24,25
brian blessed,0,12,1,19,13,20,3,10,25,22,11
trent ford,19,2,20,25,22
wilson guerrero,20,17
frances lee mccain,20,10
paul schneider,19,20,3,25
tyler labine,0,1,17,24,10,25,11,12,19,13,5,20,21,22
yuri lowenthal,1,19,13,10
ken davis,0,16,17
chatchai plengpanich,0,12,20,10,22
olivier martinez,0,5,20,24,21,10,25
claudiu trandafir,24
james coburn,0,9,1,2,3,10,25,11,12,19,13,5,20,21,22,14
alicia goranson,20,17,3,25
fernando rey,12,5,20,17
jan haley,20
james cullen bressack,24
barbara hershey,9,19,5,20,17,24,21
breckin meyer,19,13
lysette anthony,12,21,10
eric schlosser,16
christian clemenson,5,20,22
noah ringer,12,1,21,10
phyllis smith,1,19,13,20,21,10
zahn mcclarnon,1,13,2,10
terry,1,21,10,23
virginia leith,24,11
kari j. kramer,12,20
riteish deshmukh,19,20,25
cheri oteri,19
dr. dre,19
aretha franklin,12,19,17,8
lorraine bracco,19,5,20,17,10,25
lesley sharp,19,20,8
mia sara,12,5,17,11
celeste holm,20,25
james bolam,20,25
guro nagelhus schia,20,25
manuela velasco,24
jay adams,16,14
ximena ayala,19,20
patricia heaton,19,5,25,11
tamar novas,20,3,25
tonya lee williams,19,10,11
chasty ballesteros,5,24
jason dohring,9,20,17
joseph cross,19,5,20,17
ni yan,19,20
felix avitia,9,19,5
brian eno,16,3,8
jordan bridges,1,20
melissa bolona,5
david harbour,9,5,20,17
james d'arcy,0,12,9,19,5,20,24,10,22
chelan simmons,19,24,25
jerry nelson,1,19,20,21,23
natalie canerday,5,20
slash,19
susannah york,19,20,3,10,22
patrick cranshaw,19,25
harvey fierstein,0,12,1,19,13,17,21,10,23
master p,19
carlos ponce,1,19,13,21,10,25
bunta sugawara,1,13,21,10
tjasa ferme,5,20,17
céline sallette,9,20,24,21
melissa ordway,1,20,25,8
johnny pacar,0,12,20,24,22,11
paul f. tompkins,20
barry dennen,19
shawn andrews,5,20,17
sam lerner,19
mary norwood,20,8
akshaye khanna,20,3,22
marilyn manson,5,20,17,3
daniel travis,5,20,24,3,10
george w. bush,0,16,17
erick elias,12,19
glenn morshower,12,19,5,2,17,24,10,22,11
diana scarwid,20,3
john boyega,12,19,5,11
suraj sharma,20,3,21,10,14
darren healy,20,25,8
david douglas,19
burl ives,20,25
miriama smith,20,3,10
m. emmet walsh,12,9,1,19,13,5,20,3,10,25,22,14,11
james whitmore,0,12,20,22
rich ceraulo,19
alan hale,19,25
rupert evans,12,9,19,5,20,24,21,10,25,22,11
eddie spears,20,14
tony noble,20,17
sienna beckman,20
david belle,12,5,17,10,11
ti west,19,20,25
mark zupan,16,14
todd stashwick,19,25
virginia madsen,9,1,17,24,10,25,11,12,19,5,20,21,22,8
alexander vlahos,9,24
ringo starr,19,16,8,23
alan bates,20,25,8
toby hemingway,12,5,24,21
francesca capaldi,1,19,13,10
shelby vischer,1,19,13,20,10,23
brian howe,19,24,11
russell tovey,1,19,13,5,20,24,10,11
abhishek bachchan,12,19,5,20,17,25,23
meg foster,5,24,11
simon callow,12,19,20,21,10,25
rosario dawson,9,1,17,24,10,25,11,12,19,5,20,21,22,14,8,23
james patrick stuart,0,20,22
robinne lee,19
alexia rasmussen,20,11
roma maffia,12,9,5,20,17
sam lloyd,1,19,11
bill fagerbakke,1,19,13,20,21,10,25,23
claudette lalí,20,17
eric schweig,0,12,19,20,17,3,10,25
emily meade,9,5,17,24,10,11
kayvan novak,19,5,20,17
romeo miller,19,20,17,25,8
michel bouquet,20,17,25
matt gerald,12,9,19,5,20,17,11
nora zehetner,19,20,24,10,25,11
krystyna janda,20
ruth sheen,20,3,22
david kross,20,3,25,14
justin chon,19,24
deborah mailman,19,20,3,10,22,23
donnie dunagan,1,13,20
peter coyote,0,9,1,19,5,20,17,21,25,14,11
stephen collins,19,5,20,10,25
joe komara,20,25
laura fraser,9,5,20
junix inocian,12,19,5,17
isabelle huppert,12,19,5,2,17,20,10,25,23
jason k. wixom,12,19,24
mike farrell,0,19,20
robert davi,12,16,5,20,17,24,3,10,11
jaqueline fleming,12,19,5,17
miriam colon,9,20
paul walker,0,12,9,1,19,5,20,17,10,25,22,14,11
adrian holmes,5,20,24,21
sonja sohn,5,20
bree williamson,19,5,24
lexa doig,12,5,24,11
larry the cable guy,19,20,25
roger guenveur smith,12,19,5,17
dayo okeniyi,19,20,25
maría botto,12,9,20,10
kieran culkin,12,1,19,5,20,17,21,10,25
marie-anne chazel,1,19,21,11
daoming chen,20
delroy lindo,12,1,19,13,5,20,17,3,10,25,22,14,11
alexa penavega,12,1,19,5,20,17,24,10,25,22,11,23
aisha hinds,5,20,17,25
artyom bogucharskiy,20,17
joe marino,24
rob moran,19,20,3
eric mccormack,9,19,5,20,17
ian hart,20,25
billy drago,12,5,20,17
victor webster,19,25
michael moore,19,16,20,17,6
greg ayres,16,3
sarah carter,12,5,20,17,24,10
rudolf klein-rogge,20,11
tyler james williams,1,19,10,25
nancy cartwright,1,19,13,21,10,23
josie ho,12,9,5,20,17
lateef crowder,12,10
maurice lamarche,12,1,19,13,21,10,23
rachel alig,9,5,20,24
michael cortez,20
sergey garmash,1,19,13,21,10
tom wilkinson,0,9,2,17,24,3,10,25,11,12,19,5,20,21,22,8
gino salvano,12,19,5,17
olivia rose keegan,9,5,20,24
forrest tucker,0,12,20,25
john gilbert,0,20,25
matthew lawrence,1,19,20,25
robert pattinson,9,1,20,21,10,25
chris ellis,9,5,17,24
ted markland,9,5,17
woody strode,2,20,24,11
charlie mcdermott,19,20,17,11
diljit dosanjh,25
max beesley,20,25,8
kevin nash,12,1,19,20,10,11,8
scott glenn,0,9,1,2,17,24,3,10,25,12,19,5,20,21,22,14
mircea monroe,1,19,5,20,24,21,25
keram malicki-sánchez,5,24
frank grillo,12,9,5,20,17,24,10,14,11
matt walsh,12,19,5,20,25,14
elizabeth berrington,19,20,17
paul michael glaser,1,19,20,25,23
darwin shaw,20,3,22
mae marsh,0,20,22
malik yoba,1,19,20,10,14,8
peter krause,19,20,11
thomas brophy,5,24
sean keenan,9,5,20
joey lauren adams,19,5,20,17,25
natalie press,20,25
chris gauthier,12,1,19,5,17,10,25,11
adriana caselotti,1,13,21,23
michael nardone,5,20,17
raquel elizabeth ames,12,20
french stewart,19
lisa arnold,20
pam ferris,9,5,17
mia kirshner,9,19,5,20,17,3,25
niketa calame,1,13,20,10,23
katie aselton,19,5,20,24,25
illeana douglas,9,19,5,20,17,24,3,10,25
shun oguri,13,10,11
tina turner,12,5,10,11
kelly jo minter,5,24,21,25
marcel iures,12,5,24,10
tim dekay,19,20,25,14
peter cushing,12,21,10,11
kristen johnston,1,19,11
derick martini,19,25
paul daniel ayotte,5,20,17
james biberi,12,19,5,20,17
izabella scorupco,12,9,5,24,10
mario monicelli,19,20,25
megan hilty,19,5,20,24,11
paul sparks,5,20,10,11
robbie kay,19,20,3,22
oliver reed,0,12,1,20,3,25,22,23
sammy nagi njuguna,20,3,14
andré dussollier,0,12,9,19,20,17,25
maximilian schell,0,12,19,5,20,24,10,25,11
jessie t. usher,1,20,14
brooke bundy,5,24,21
darren e. burrows,20,25,8
jorge diaz,20,8
bill bailey,12,9,1,19,21
matt bomer,12,9,19,5,20,24,21,25,11,8
brandon landers,5,20,24
tom cullen,5,20,24,3,25,11
joe bishop,16,14
mireille enos,12,5,20,17,24,21,10,25,11,8
scandar copti,20,17
tesshô genda,12,13,11
david alpay,0,20
grasie mercedes,19
christopher nicholas smith,19,20,24,25
george newbern,9,5,24
rosalind ayres,12,1,13,5,10,11
timothy hutton,9,19,5,20,24,10,25
derek luke,12,9,19,5,20,17,3,22,14,11
bernie mac,12,1,16,13,19,5,20,17,10,25,22,14,8
oscar gale,19,14
maury chaykin,12,19,5,2,17,20,10,25,11
janel parrish,19,20,25
matthew r. anderson,12,24,11
stacy edwards,19,20
kristen quintrall,24
gaia weiss,12,21,10
michel muller,12,19,5,20,17
gary oldman,9,1,17,24,3,10,25,11,12,19,13,5,20,21,23
shriman umeshanad brahmachari,16,20,3
meghan ory,19,24,11
keenan wynn,19,2,3,25,23
elizabeth perkins,12,1,19,13,20,17,21,10,25
william miller,0,20,22
s. william hinzman,9,20,24
neil hopkins,19
madeline carroll,12,1,19,5,20,17,24,3,21,25
suzi lorraine,19,25
martha macisaac,5,17,24
john henshaw,9,5,20,17
marshall allman,19,20
jessica raine,5,20,24,21
travis aaron wade,5,20,17
billy aaron brown,24
deems taylor,1,13,21,8
regi davis,12,11
charles linton,19,13,20
michael wincott,1,2,17,24,3,10,25,11,12,13,5,20,21,8,23
mugambi nthiga,20
marcello mastroianni,19,20,25
matthew daddario,1,19,20,14
john enos iii,19,5,17,25,14
rachel blakely,12,19,17
ransford doherty,12,9,5,20,17
nat faxon,19,8
lily cole,0,9,19,20,3,21,10
bruno campos,19
ruth wilson,12,9,19,5,2,17,20,3,10,22,8
mary astor,20,10,25
ron lynch,19,13,20
robert de niro,0,9,1,17,24,3,10,25,11,12,19,13,5,20,21,14,8,23
vanessa martinez,5,20,10
sarah solemani,0,19,20,8
justin baldoni,20
ginger rogers,19,25,23
jonathan caouette,16,3
malonn lévana,19,25
tate taylor,12,19,5,10,25
chad bishop,12,9,5,20,17
taylor handley,2,20,25,22
ariane schluter,19,20
dylan authors,20,3
victoria lachelle,9,19,5,24
beverly randolph,19,24,11
kyung-gu sol,12,19,5,20
steve buscemi,0,9,1,2,17,24,10,25,11,12,19,13,5,20,21,8,23
emma de caunes,1,19
amrish puri,12,20,3,10,22
thomas f. wilson,12,9,1,19,5,2,17,20,24,10,25,11
dom deluise,1,19,17,10,25,11,23
suzie plakson,9,5
fred willard,1,19,13,5,20,24,21,10,25,11
hiroyuki ikeuchi,12,20,10,11
lori petty,12,19,20,14,11
patricia tallman,19,24,21
matthew glave,20,8
tim matheson,1,19,20,25
keir dullea,9,10,11
purva bedi,19,20,25
anne meara,1,19,5,20,21,14
sharat saxena,12,10,25,11
jim gaffigan,12,19,5,20,17,25
jeff perry,9,5,20,17
miguel ángel solá,20,23
tanya van graan,5,20,17
dominique sanda,20
shannon woodward,24
maura tierney,9,19,5,20,21,25,14
libby villari,20
vidya balan,19,20,25
cornel wilde,1,20,25
muse watson,12,9,19,5,20,17,24,10
shelley long,1,19,20,10
richard roundtree,12,5,20,17
kate flannery,15,19
scott handy,20,3,22
w. earl brown,9,19,20,24,3,21,25
james robertson justice,20,10
claire gordon-harper,12,5,20,11
adrienne pickering,5,24
paz vega,9,19,5,20,17,3,25
laird john hamilton,16,22,14
tim guinee,12,9,1,19,5,20,25,11
jacqueline mckenzie,1,20
anne archer,12,9,5,20,17,10,25
richard johnson,0,20
kevin spacey,0,9,1,17,3,10,11,12,19,13,5,20,21,8,23
morgan saylor,20,3,14
hedy lamarr,2,20,10,25
jim rash,19,20,25
gillian white,19,20,8
donald trump,19,16
sam reid,0,20,3,25
debrah farentino,19,20,25
derek jeter,12,19,17
adam baldwin,0,12,5,20,24,10,22,11
kyra sedgwick,1,19,5,20,24,21,25,14,11
tencho gyalpo,0,20,3,22
peter mark richman,24,10
peter dante,19,25,14
steve bastoni,0,12,1,19,20,10,11
karin dor,9,24
reid ewing,19,24
eric jacobson,1,19,10,23
john saxon,12,5,24,21
fadia nadda,9,5,20,25
hal landon jr.,5,20,17,24,21,11
nellie sciutto,9,5
paul ogola,20
ian richardson,0,9,5,20,24,25,22,8
craig hall,20,3,14
brent david fraser,20
greg crowe,16
ben schwartz,1,19,13,10,14
kimberly beck,5,24
bruce spence,12,9,1,19,5,20,24,21,10,11
sean cameron michael,20
constance shulman,1,19,13
jayne eastwood,19,5,17,25,23
eric worre,16
catriona maccoll,24
adrienne frantz,20,17,25
erik estrada,19,25
victor buono,12,10,11
kevin tighe,12,5,20,25
elpidia carrillo,20,22
william condos,19,20
abigail evans,16
randall 'tex' cobb,12,9,19,21,10,25
t.j. storm,12
george dicenzo,20
jon osbeck,12,5
america olivo,5,24
velibor topic,12,5,10,25,11
mason gamble,5,20,11
david mamet,16
jon favreau,12,1,19,13,5,20,17,3,10,25,14,11
alex macqueen,19,20,17
alfie allen,0,12,9,19,20,17,25
merritt wever,19,5,20,25,11
timothy omundson,9,19,17
michael kitchen,12,5,20,3,25
donald austin,16
bruce gooch,1,20
zach mcgowan,0,12,20,24,21
sela ward,12,9,19,5,20,17,10,11,8
keith allen,19,20,3,21,25,8,23
circus-szalewski,24
paul gleason,5,17,10
walter koenig,12,9,19,16,5,10,11
ioan gruffudd,0,12,1,19,5,20,21,10,22,11
jennifer jason leigh,9,1,2,17,24,10,25,11,19,13,5,20,21,8
max adler,19,24
eugene roche,19
pei-pei cheng,12,20,25
santiago segura,1,19,21,10
terrance zdunich,24,23
amanda plummer,20,25
r. brandon johnson,9,5,20,17,24
bruno kirby,0,19,20,3,25
brent neale,19,24,23
jessalyn gilsig,2,20,25
john buffalo mailer,20
tómas lemarquis,12,5,20
anthony johnson,19
jay mohr,1,19,20,17,21,10,25
june lockhart,12,1,5,20,17,10,11
nicholas hamilton,9,5,20
jason ritter,12,1,19,5,20,24,25,8
nona gaye,12,5,17,10,11
alessandra mastronardi,19,25
jack o'connell,0,12,5,20,17,24,3,25,14
dj pooh,19
david deluise,19
monique gabriela curnen,19,5,20
alfred enoch,21
jeff lima,20
michaela conlin,9,19,20,17,25
francis lederer,20,17,25
todd allen,12,2,17,20
phylicia rashad,19,20,25,14
david dencik,12,9,5,17
joey d. vieira,13
monica barladeanu,19,20
dermot crowley,20
allen covert,12,19,17,25
jason momoa,12,5,24
jeffrey frost,0,16,17
rijk de gooyer,19,20
jere burns,19,5,17,24,10
paula abdul,1,19,13,10,11
georgina reilly,19,24,21
michael elian,19,20,25
rupert graves,12,5,20,10,25
zoe kazan,19,2,20,25
amber stevens west,12,19,5,17
david sparrow,19,25
rebecca dayan,12,5,20,11
tyler hilton,20,3,25,8
todd giebenhain,19,17,25
óscar jaenada,12,9,5,20,17,24
brooke newton,5
vanessa lee chester,12,19,10,11
bart the bear,12,5,20,10
michael higgenbottom,20
steven bauer,5,20,17
fedja van huêt,9,20,17
jason beghe,9,24
ellar coltrane,20
goran visnjic,12,9,1,19,13,5,20,17,21,10,25
traylor howard,1,19,21
crystal lowe,9,19,5,20,24,11
kayla raparelli,23
